"","title","author","subject","abstract","date"
"11","incremental bayesian learning for fail-operational control in autonomous driving","lei zheng, rui yang, zengqi peng, wei yan, michael yu wang, jun ma","robotics","abrupt maneuvers by surrounding vehicles (svs) can typically lead to safety concerns and affect the task efficiency of the ego vehicle (ev), especially with model uncertainties stemming from environmental disturbances. this paper presents a real-time fail-operational controller that ensures the asymptotic convergence of an uncertain ev to a safe state, while preserving task efficiency in dynamic environments. an incremental bayesian learning approach is developed to facilitate online learning and inference of changing environmental disturbances. leveraging disturbance quantification and constraint transformation, we develop a stochastic fail-operational barrier based on the control barrier function (cbf). with this development, the uncertain ev is able to converge asymptotically from an unsafe state to a defined safe state with probabilistic stability. subsequently, the stochastic fail-operational barrier is integrated into an efficient fail-operational controller based on quadratic programming (qp). this controller is tailored for the ev operating under control constraints in the presence of environmental disturbances, with both safety and efficiency objectives taken into consideration. we validate the proposed framework in connected cruise control (ccc) tasks, where svs perform aggressive driving maneuvers. the simulation results demonstrate that our method empowers the ev to swiftly return to a safe state while upholding task efficiency in real time, even under time-varying environmental disturbances.",2024-03-07
"12","an adaptable, safe, and portable robot-assisted feeding system","ethan kroll gordon, rajat kumar jenamani, amal nanavati, ziang liu, haya bolotski, raida karim, daniel stabile, atharva kashyap, bernie hao zhu, xilai dai, tyler schrenk, jonathan ko, taylor kessler faulkner, tapomayukh bhattacharjee, siddhartha srinivasa","robotics","we demonstrate a robot-assisted feeding system that enables people with mobility impairments to feed themselves. our system design embodies safety, portability, and user control, with comprehensive full-stack safety checks, the ability to be mounted on and powered by any powered wheelchair, and a custom web-app allowing care-recipients to leverage their own assistive devices for robot control. for bite acquisition, we leverage multi-modal online learning to tractably adapt to unseen food types. for bite transfer, we leverage real-time mouth perception and interaction-aware control. co-designed with community researchers, our system has been validated through multiple end-user studies.",2024-03-07
"13","to spend or to gain: online learning in repeated karma auctions","damien berriaud, ezzat elokda, devansh jalota, emilio frazzoli, marco pavone, florian dörfler","computer science and game theory","recent years have seen a surge of artificial currency-based mechanisms in contexts where monetary instruments are deemed unfair or inappropriate, e.g., in allocating food donations to food banks, course seats to students, and, more recently, even for traffic congestion management. yet the applicability of these mechanisms remains limited in repeated auction settings, as it is challenging for users to learn how to bid an artificial currency that has no value outside the auctions. indeed, users must jointly learn the value of the currency in addition to how to spend it optimally. in this work, we study the problem of learning to bid in two prominent classes of artificial currency auctions: those in which currency, which users spend to obtain public resources, is only issued at the beginning of a finite period; and those where, in addition to the initial currency endowment, currency payments are redistributed to users at each time step. in the latter class, the currency has been referred to as karma, since users do not only spend karma to obtain public resources but also gain karma for yielding them. in both classes, we propose a simple learning strategy, called adaptive karma pacing, and show that this strategy a) is asymptotically optimal for a single user bidding against competing bids drawn from a stationary distribution; b) leads to convergent learning dynamics when all users adopt it; and c) constitutes an approximate nash equilibrium as the number of users grows. our results require a novel analysis in comparison to adaptive pacing strategies in monetary auctions, since we depart from the classical assumption that the currency has known value outside the auctions, and moreover consider that the currency is both spent and gained in the class of auctions with redistribution.",2024-03-06
"14","online learning with unknown constraints","karthik sridharan, seung won wilson yoo","machine learning","we consider the problem of online learning where the sequence of actions played by the learner must adhere to an unknown safety constraint at every round. the goal is to minimize regret with respect to the best safe action in hindsight while simultaneously satisfying the safety constraint with high probability on each round. we provide a general meta-algorithm that leverages an online regression oracle to estimate the unknown safety constraint, and converts the predictions of an online learning oracle to predictions that adhere to the unknown safety constraint. on the theoretical side, our algorithm's regret can be bounded by the regret of the online regression and online learning oracles, the eluder dimension of the model class containing the unknown safety constraint, and a novel complexity measure that captures the difficulty of safe learning. we complement our result with an asymptotic lower bound that shows that the aforementioned complexity measure is necessary. when the constraints are linear, we instantiate our result to provide a concrete algorithm with $\sqrt{t}$ regret using a scaling transformation that balances optimistic exploration with pessimistic constraint satisfaction.",2024-03-06
"15","learning adversarial mdps with stochastic hard constraints","francesco emanuele stradi, matteo castiglioni, alberto marchesi, nicola gatti","machine learning","we study online learning problems in constrained markov decision processes (cmdps) with adversarial losses and stochastic hard constraints. we consider two different scenarios. in the first one, we address general cmdps, where we design an algorithm that attains sublinear regret and cumulative positive constraints violation. in the second scenario, under the mild assumption that a policy strictly satisfying the constraints exists and is known to the learner, we design an algorithm that achieves sublinear regret while ensuring that the constraints are satisfied at every episode with high probability. to the best of our knowledge, our work is the first to study cmdps involving both adversarial losses and hard constraints. indeed, previous works either focus on much weaker soft constraints--allowing for positive violation to cancel out negative ones--or are restricted to stochastic losses. thus, our algorithms can deal with general non-stationary environments subject to requirements much stricter than those manageable with state-of-the-art algorithms. this enables their adoption in a much wider range of real-world applications, ranging from autonomous driving to online advertising and recommender systems.",2024-03-06
"16","online learning and control synthesis for reachable paths of unknown nonlinear systems","yiming meng, taha shafa, jesse wei, melkior ornik","optimization and control","in this paper, we present a novel method to drive a nonlinear system to a desired state, with limited a priori knowledge of its dynamic model: local dynamics at a single point and the bounds on the rate of change of these dynamics. this method synthesizes control actions by utilizing locally learned dynamics along a trajectory, based on data available up to that moment, and known proxy dynamics, which can generate an underapproximation of the unknown system's true reachable set. an important benefit to the contributions of this paper is the lack of knowledge needed to execute the presented control method. we establish sufficient conditions to ensure that a controlled trajectory reaches a small neighborhood of any provably reachable state within a short time horizon, with precision dependent on the tunable parameters of these conditions.",2024-03-06
"17","online learning of human constraints from feedback in shared autonomy","shibei zhu, tran nguyen le, samuel kaski, ville kyrki","robotics","real-time collaboration with humans poses challenges due to the different behavior patterns of humans resulting from diverse physical constraints. existing works typically focus on learning safety constraints for collaboration, or how to divide and distribute the subtasks between the participating agents to carry out the main task. in contrast, we propose to learn a human constraints model that, in addition, considers the diverse behaviors of different human operators. we consider a type of collaboration in a shared-autonomy fashion, where both a human operator and an assistive robot act simultaneously in the same task space that affects each other's actions. the task of the assistive agent is to augment the skill of humans to perform a shared task by supporting humans as much as possible, both in terms of reducing the workload and minimizing the discomfort for the human operator. therefore, we propose an augmentative assistant agent capable of learning and adapting to human physical constraints, aligning its actions with the ergonomic preferences and limitations of the human operator.",2024-03-05
"18","mirror descent algorithms with nearly dimension-independent rates for differentially-private stochastic saddle-point problems","tomás gonzález, cristóbal guzmán, courtney paquette","optimization and control","we study the problem of differentially-private (dp) stochastic (convex-concave) saddle-points in the polyhedral setting. we propose $(\varepsilon, \delta)$-dp algorithms based on stochastic mirror descent that attain nearly dimension-independent convergence rates for the expected duality gap, a type of guarantee that was known before only for bilinear objectives. for convex-concave and first-order-smooth stochastic objectives, our algorithms attain a rate of $\sqrt{\log(d)/n} + (\log(d)^{3/2}/[n\varepsilon])^{1/3}$, where $d$ is the dimension of the problem and $n$ the dataset size. under an additional second-order-smoothness assumption, we improve the rate on the expected gap to $\sqrt{\log(d)/n} + (\log(d)^{3/2}/[n\varepsilon])^{2/5}$. under this additional assumption, we also show, by using bias-reduced gradient estimators, that the duality gap is bounded by $\log(d)/\sqrt{n} + \log(d)/[n\varepsilon]^{1/2}$ with constant success probability. this result provides evidence of the near-optimality of the approach. finally, we show that combining our methods with acceleration techniques from online learning leads to the first algorithm for dp stochastic convex optimization in the polyhedral setting that is not based on frank-wolfe methods. for convex and first-order-smooth stochastic objectives, our algorithms attain an excess risk of $\sqrt{\log(d)/n} + \log(d)^{7/10}/[n\varepsilon]^{2/5}$, and when additionally assuming second-order-smoothness, we improve the rate to $\sqrt{\log(d)/n} + \log(d)/\sqrt{n\varepsilon}$. instrumental to all of these results are various extensions of the classical maurey sparsification lemma, which may be of independent interest.",2024-03-05
"19","respiratory motion forecasting with online learning of recurrent neural networks for safety enhancement in externally guided radiotherapy","michel pohl, mitsuru uesaka, hiroyuki takahashi, kazuyuki demachi, ritu bhusal chhatkuli","machine learning","in lung radiotherapy, infrared cameras can record the location of reflective objects on the chest to infer the position of the tumor moving due to breathing, but treatment system latencies hinder radiation beam precision. real-time recurrent learning (rtrl), is a potential solution as it can learn patterns within non-stationary respiratory data but has high complexity. this study assesses the capabilities of resource-efficient online rnn algorithms, namely unbiased online recurrent optimization (uoro), sparse-1 step approximation (snap-1), and decoupled neural interfaces (dni) to forecast respiratory motion during radiotherapy treatment accurately. we use time series containing the 3d position of external markers on the chest of healthy subjects. we propose efficient implementations for snap-1 and dni based on compression of the influence and immediate jacobian matrices and an accurate update of the linear coefficients used in credit assignment estimation, respectively. the original sampling frequency was 10hz; we performed resampling at 3.33hz and 30hz. we use uoro, snap-1, and dni to forecast each marker's 3d position with horizons (the time interval in advance for which the prediction is made) h<=2.1s and compare them with rtrl, least mean squares, and linear regression. rnns trained online achieved similar or better accuracy than most previous works using larger training databases and deep learning, even though we used only the first minute of each sequence to predict motion within that exact sequence. snap-1 had the lowest normalized root mean square errors (nrmse) averaged over the horizon values considered, equal to 0.335 and 0.157, at 3.33hz and 10.0hz, respectively. similarly, uoro had the highest accuracy at 30hz, with an nrmse of 0.0897. dni's inference time, equal to 6.8ms per time step at 30hz (intel core i7-13700 cpu), was the lowest among the rnn methods examined.",2024-03-03
"20","improving the validity of automatically generated feedback via reinforcement learning","alexander scarlatos, digory smith, simon woodhead, andrew lan","computation and language","automatically generating feedback via large language models (llms) in intelligent tutoring systems and online learning platforms has the potential to improve the learning outcomes of many students. however, both feedback generation and evaluation are challenging: feedback content has to be valid especially in subjects like math, which requires models to understand the problem, the solution, and where the student's error lies. feedback also has to be pedagogically valid to reflect effective tutoring strategies, such as explaining possible misconceptions and encouraging the student, among other desirable features. in this work, we address both problems of automatically generating and evaluating feedback while considering both correctness and alignment. first, we propose a rubric for evaluating math feedback and show that gpt-4 is able to effectively use it to annotate human-written and llm-generated feedback. second, we propose a framework for feedback generation that optimizes both correctness and alignment using reinforcement learning (rl). specifically, we use gpt-4's annotations to create preferences over feedback pairs in an augmented dataset for training via direct preference optimization (dpo). we show that our methods significantly increase the correctness and alignment of generated feedback with llama 2, an open-source llm, qualitatively analyze our generation and evaluation systems using case studies, and outline several areas for future work.",2024-03-02
"21","selfi: autonomous self-improvement with reinforcement learning for social navigation","noriaki hirose, dhruv shah, kyle stachowicz, ajay sridhar, sergey levine","robotics","autonomous self-improving robots that interact and improve with experience are key to the real-world deployment of robotic systems. in this paper, we propose an online learning method, selfi, that leverages online robot experience to rapidly fine-tune pre-trained control policies efficiently. selfi applies online model-free reinforcement learning on top of offline model-based learning to bring out the best parts of both learning paradigms. specifically, selfi stabilizes the online learning process by incorporating the same model-based learning objective from offline pre-training into the q-values learned with online model-free reinforcement learning. we evaluate selfi in multiple real-world environments and report improvements in terms of collision avoidance, as well as more socially compliant behavior, measured by a human user study. selfi enables us to quickly learn useful robotic behaviors with less human interventions such as pre-emptive behavior for the pedestrians, collision avoidance for small and transparent objects, and avoiding travel on uneven floor surfaces. we provide supplementary videos to demonstrate the performance of our fine-tuned policy on our project page.",2024-03-01
"22","improved online learning algorithms for ctr prediction in ad auctions","zhe feng, christopher liaw, zixin zhou","information retrieval","in this work, we investigate the online learning problem of revenue maximization in ad auctions, where the seller needs to learn the click-through rates (ctrs) of each ad candidate and charge the price of the winner through a pay-per-click manner. we focus on two models of the advertisers' strategic behaviors. first, we assume that the advertiser is completely myopic; i.e.~in each round, they aim to maximize their utility only for the current round. in this setting, we develop an online mechanism based on upper-confidence bounds that achieves a tight $o(\sqrt{t})$ regret in the worst-case and negative regret when the values are static across all the auctions and there is a gap between the highest expected value (i.e.~value multiplied by their ctr) and second highest expected value ad. next, we assume that the advertiser is non-myopic and cares about their long term utility. this setting is much more complex since an advertiser is incentivized to influence the mechanism by bidding strategically in earlier rounds. in this setting, we provide an algorithm to achieve negative regret for the static valuation setting (with a positive gap), which is in sharp contrast with the prior work that shows $o(t^{2/3})$ regret when the valuation is generated by adversary.",2024-02-29
"23","adaptive learning rate for follow-the-regularized-leader: competitive analysis and best-of-both-worlds","shinji ito, taira tsuchiya, junya honda","machine learning","follow-the-regularized-leader (ftrl) is known as an effective and versatile approach in online learning, where appropriate choice of the learning rate is crucial for smaller regret. to this end, we formulate the problem of adjusting ftrl's learning rate as a sequential decision-making problem and introduce the framework of competitive analysis. we establish a lower bound for the competitive ratio and propose update rules for learning rate that achieves an upper bound within a constant factor of this lower bound. specifically, we illustrate that the optimal competitive ratio is characterized by the (approximate) monotonicity of components of the penalty term, showing that a constant competitive ratio is achievable if the components of the penalty term form a monotonically non-increasing sequence, and derive a tight competitive ratio when penalty terms are $\xi$-approximately monotone non-increasing. our proposed update rule, referred to as \textit{stability-penalty matching}, also facilitates constructing the best-of-both-worlds (bobw) algorithms for stochastic and adversarial environments. in these environments our result contributes to achieve tighter regret bound and broaden the applicability of algorithms for various settings such as multi-armed bandits, graph bandits, linear bandits, and contextual bandits.",2024-03-01
"24","hercules: heterogeneous requirements congestion control protocol","neta rozen-schiff, itzcak pechtalt, amit navon, leon bruckman","networking and internet architecture","today's networks are struggling to scale and satisfy the high number and high variety of co-existing network requirements. while existing congestion control (cc) protocols are designed to handle strict classification of network flows into one or few priorities, a more granular and dynamic congestion control is needed.
in this paper we present hercules, a novel cc protocol based on an online learning approach, which supports unbounded and continues requirements space. we implemented hercules as a quic module and we show, through analytical analysis and real-world experiments, that it provides between $50\%-250\%$ higher qos for co-existing diverse network flows and outperforms state-of-the-art cc protocols, even under high network congestion.",2024-03-01
"25","federated linear contextual bandits with heterogeneous clients","ethan blaser, chuanhao li, hongning wang","machine learning","the demand for collaborative and private bandit learning across multiple agents is surging due to the growing quantity of data generated from distributed systems. federated bandit learning has emerged as a promising framework for private, efficient, and decentralized online learning. however, almost all previous works rely on strong assumptions of client homogeneity, i.e., all participating clients shall share the same bandit model; otherwise, they all would suffer linear regret. this greatly restricts the application of federated bandit learning in practice. in this work, we introduce a new approach for federated bandits for heterogeneous clients, which clusters clients for collaborative bandit learning under the federated learning setting. our proposed algorithm achieves non-trivial sub-linear regret and communication cost for all clients, subject to the communication protocol under federated learning that at anytime only one model can be shared by the server.",2024-02-29
"26","lower bounds for differential privacy under continual observation and online threshold queries","edith cohen, xin lyu, jelani nelson, tamás sarlós, uri stemmer","cryptography and security","one of the most basic problems for studying the ""price of privacy over time"" is the so called private counter problem, introduced by dwork et al. (2010) and chan et al. (2010). in this problem, we aim to track the number of events that occur over time, while hiding the existence of every single event. more specifically, in every time step $t\in[t]$ we learn (in an online fashion) that $\delta_t\geq 0$ new events have occurred, and must respond with an estimate $n_t\approx\sum_{j=1}^t \delta_j$. the privacy requirement is that all of the outputs together, across all time steps, satisfy event level differential privacy. the main question here is how our error needs to depend on the total number of time steps $t$ and the total number of events $n$. dwork et al. (2015) showed an upper bound of $o\left(\log(t)+\log^2(n)\right)$, and henzinger et al. (2023) showed a lower bound of $\omega\left(\min\{\log n, \log t\}\right)$. we show a new lower bound of $\omega\left(\min\{n,\log t\}\right)$, which is tight w.r.t. the dependence on $t$, and is tight in the sparse case where $\log^2 n=o(\log t)$. our lower bound has the following implications:
$\bullet$ we show that our lower bound extends to the ""online thresholds problem"", where the goal is to privately answer many ""quantile queries"" when these queries are presented one-by-one. this resolves an open question of bun et al. (2017).
$\bullet$ our lower bound implies, for the first time, a separation between the number of mistakes obtainable by a private online learner and a non-private online learner. this partially resolves a colt'22 open question published by sanyal and ramponi.
$\bullet$ our lower bound also yields the first separation between the standard model of private online learning and a recently proposed relaxed variant of it, called private online prediction.",2024-02-28
"27","real-time adaptive safety-critical control with gaussian processes in high-order uncertain models","yu zhang, long wen, xiangtong yao, zhenshan bing, linghuan kong, wei he, alois knoll","machine learning","this paper presents an adaptive online learning framework for systems with uncertain parameters to ensure safety-critical control in non-stationary environments. our approach consists of two phases. the initial phase is centered on a novel sparse gaussian process (gp) framework. we first integrate a forgetting factor to refine a variational sparse gp algorithm, thus enhancing its adaptability. subsequently, the hyperparameters of the gaussian model are trained with a specially compound kernel, and the gaussian model's online inferential capability and computational efficiency are strengthened by updating a solitary inducing point derived from new samples, in conjunction with the learned hyperparameters. in the second phase, we propose a safety filter based on high-order control barrier functions (hocbfs), synergized with the previously trained learning model. by leveraging the compound kernel from the first phase, we effectively address the inherent limitations of gps in handling high-dimensional problems for real-time applications. the derived controller ensures a rigorous lower bound on the probability of satisfying the safety specification. finally, the efficacy of our proposed algorithm is demonstrated through real-time obstacle avoidance experiments executed using both a simulation platform and a real-world 7-dof robot.",2024-02-29
"28","conjectural online learning with first-order beliefs in asymmetric information stochastic games","tao li, kim hammar, rolf stadler, quanyan zhu","computer science and game theory","asymmetric information stochastic games (\textsc{aisg}s) arise in many complex socio-technical systems, such as cyber-physical systems and it infrastructures. existing computational methods for \textsc{aisg}s are primarily offline and can not adapt to equilibrium deviations. further, current methods are limited to special classes of \textsc{aisg}s to avoid belief hierarchies. to address these limitations, we propose conjectural online learning (\textsc{col}), an online method for generic \textsc{aisg}s. \textsc{col} uses a forecaster-actor-critic (\textsc{fac}) architecture where subjective forecasts are used to conjecture the opponents' strategies within a lookahead horizon, and bayesian learning is used to calibrate the conjectures. to adapt strategies to nonstationary environments, \textsc{col} uses online rollout with cost function approximation (actor-critic). we prove that the conjectures produced by \textsc{col} are asymptotically consistent with the information feedback in the sense of a relaxed bayesian consistency. we also prove that the empirical strategy profile induced by \textsc{col} converges to the berk-nash equilibrium, a solution concept characterizing rationality under subjectivity. experimental results from an intrusion response use case demonstrate \textsc{col}'s superiority over state-of-the-art reinforcement learning methods against nonstationary attacks.",2024-02-29
